ID,BusinessName,AddressLine2,AddressLine3,PostCode,Longitude,Latitude
19429,(Starbucks),390 Provan Walk,Glasgow,G34 9DL,-4.136909,55.872982
360857,1478 Social Club,11 Dove Street,Glasgow,G53 7BS,-4.362002,55.812693
36363,1call Direct,116 West Regent Street,Glasgow,G2 2QD,-4.258314,55.863552
36362,2 Go,397 Dumbarton Road,Glasgow,G11 6BE,-4.308613,55.870617
507934,200 St Vincent Street,200 St Vincent Street,Glasgow,G2 5SG,-4.260957,55.86229
95689,279 Cafe Bistro,279 Dumbarton Road,Glasgow,G11 6AB,-4.303939,55.870516
110587,32nd Signal Regiment (v),21 Jardine Street,Glasgow,G20 6JU,-4.277246,55.877088
10859,7 Day Catering Ltd  -Staff Canteen,53 Coltness Street,Glasgow,G33 4JD,-4.152553,55.863938
406755,7th Heaven,15 Elmbank Gardens,Glasgow,G2 4NQ,-4.270439,55.865108
556088,916 - Diner,916 Sauchiehall Street,Glasgow,G3 7TF,-4.284479,55.865774
31114,Abercromby Cafe,168 Abercromby Street,Glasgow,G40 2RZ,-4.229148,55.852688
36313,Abercromby Catering And Vending,8 Arrol Road,Glasgow,G40 3DQ,-4.213875,55.84625
35898,A-Cakes,39 Milnbank Street,Glasgow,G31 3AQ,-4.221675,55.864803
537382,Ad Lib,33 Ingram Street,Glasgow,G1 1HA,-4.242358,55.859008
91632,Agra Restaurant,995 Crow Road,Glasgow,G13 1JP,-4.32204,55.893903
315982,AJ's Sandwich Shop,14 Tollcross Road,Glasgow,G31 4XD,-4.19669,55.850836
360826,Akbars Balti Restaurant,573 Sauchiehall Street,Glasgow,G3 7PQ,-4.273083,55.866048
36482,Alba Cafe,481 Great Western Road,Glasgow,G12 8HL,-4.282144,55.875281
22585,Alba Catering Ltd,2 Haghill Road,Glasgow,G31 3SR,-4.202495,55.858569
188093,Albacore,200 Carlisle Street,Glasgow,,-4.242509842,55.85779953
19526,Albacore (Scottish Qualifications Authority),58 Robertson Street,Glasgow,G2 8DU,-4.260464,55.857095
49104,Alberto's,506 Alexandra Parade,Glasgow,G31 3BQ,-4.218008,55.863548
360864,Albion Sports And Social Club,320 Halley Street,Glasgow,G13 4DJ,-4.378986,55.891898
66160,Alishan Tandoori,250 Battlefield Road,Glasgow,G42 9HU,-4.262139,55.824889
49065,All In One,12 Marne Street,Glasgow,G31 2TD,-4.212686,55.8627
15468,Alla Turca Restuarant,192 Pitt Street,Glasgow,G2 4DY,-4.26452,55.865289
116807,Allied Distillers Canteen,1780 London Road,Glasgow,G32 8XA,-4.192206,55.838729
548299,Almi's Cafeteria,600 Eglinton Street,Glasgow,G5 9RR,-4.262232,55.844633
511143,Al's Diner,70 Cathedral Street,Glasgow,G4 0RN,,
112421,AM PM,16 Killermont Street,Glasgow,G2 3NW,-4.25203,55.865428
133348,Amalfi Pizzeria,148 West Nile Street,Glasgow,G1 2RQ,-4.253893,55.863929
19637,Amarone,4 Nelson Mandela Place,Glasgow,,-4.2535556,55.86203936
568571,Amateur Football Association,34 Bridge Street,Glasgow,G5 9HU,-4.259031,55.853338
133364,Amber Regent,50 West Regent Street,Glasgow,G2 2RA,-4.256413,55.86329
30936,Amber Restaurant,132 Byres Road,Glasgow,G12 8TD,-4.295156,55.873646
480311,Amber's Cafe,18 Balmore Road,Glasgow,G22 6RN,-4.255088,55.884273
31320,Amore Ristorante,30 Ingram Street,Glasgow,G1 1EZ,-4.242543,55.859445
45671,Amros Tandoori,1228 Royston Road,Glasgow,G33 1EX,-4.193152,55.878212
31211,AMT Coffee,79 Gordon Street,Glasgow,G1 3SQ,-4.258211,55.859302
102350,Amt Expresso (Queen St Station),38 George Square,Glasgow,G1 2AF,-4.251204,55.862487
30935,An Clachan Cafe Ltd,5 La Belle Place,Glasgow,G3 7LH,-4.27954,55.866593
132673,Anarkali Restaurant,531 Victoria Road,Glasgow,G42 8BH,-4.265291,55.83407
48041,Anatolia,140 St Vincent Street,Glasgow,G2 5LA,-4.25852,55.861876
507922,Andell's Restauarnt And Tearoom,140 Sauchiehall Street,Glasgow,G2 3DH,-4.258023,55.865157
315985,Anne's Snack Bar,183 Fordneuk Street,Glasgow,G40 3SA,-4.218836,55.849486
49131,Another Piece,387 Great Western Road,Glasgow,G4 9HY,-4.277598,55.873819
128362,Anti Pasti,305 Sauchiehall Street,Glasgow,G2 3HQ,-4.263947,55.865326
26768,Aramark,200 Glentanar Road,Glasgow,G22 7XS,-4.259779,55.895646
360791,Ardery Street Masonic Halls,9 Ardery Street,Glasgow,G11 7SX,-4.31445,55.871478
31127,Arisaig,71 Albion Street,Glasgow,G1 1NY,-4.243579,55.858573
31015,Arnold Clark Canteen,459 Crow Road,Glasgow,G11 7DN,-4.327257,55.882201
49071,Aroma,5 Cadogan Street,Glasgow,G2 6QE,-4.260169,55.859446
132908,Arta,13 Walls Street,Glasgow,G1 1PA,-4.24317,55.857852
36128,Artisan Roast,15 Gibson Street,Glasgow,G12 8NU,-4.282448,55.8723
49165,Arty Tarts,3 McLaren Crescent,Glasgow,G20 0LD,-4.285638,55.895285
10067,Asda (Restaurant  and Staff Canteen),1300 Duke Street,Glasgow,G31 4EB,-4.199841,55.853449
21857,Asda Cafe/Canteen,555 Prospecthill Road,Glasgow,G42 0AE,-4.246845,55.830176
31299,Asda Customer Restaurant And Canteen,1 Monument Drive,Glasgow,G33 1AD,-4.186996,55.890984
56095,Ashoka Ashton Lane,19 Ashton Lane,Glasgow,G12 8SJ,-4.292992,55.87463
581091,Ashoka At The Quay,3 Springfield Quay,Glasgow,G5 8NP,-4.274804,55.855303
86684,Ashoka South Side,268 Clarkston Road,Glasgow,G44 3EA,-4.269606,55.812187
315952,Ashoka West End,1284 Argyle Street,Glasgow,G3 8AB,-4.290045,55.866929
129774,Asia Style,185 St Georges Road,Glasgow,G3 6JD,-4.269402,55.869792
406775,Asian Gourmet,17 West Princes Street,Glasgow,G4 9BS,-4.270026,55.870077
371804,Ask Italian,3 Port Dundas Place,Glasgow,G2 3LD,-4.253253,55.865298
427404,Assams,57 West Regent Street,Glasgow,G2 2AE,-4.256581,55.862882
17626,Assissi House,41 Easterhill Street,Glasgow,,-4.17422278,55.84143226
34308,Athena Greek Taverna,1116 Argyle Street,Glasgow,G3 8TD,-4.284857,55.865138
495620,Athena Greek Taverna,99 Hope Street,Glasgow,G2 6LL,-4.259448,55.86079
22941,Atrium,121 University Avenue,Glasgow,G12 8SP,-4.293732,55.874158
18898,Atrium Coffee House,58 Cresswell Street,Glasgow,G12 8AP,-4.291748,55.876576
30440,Aubergine,356 Victoria Road,Glasgow,G42 8YW,-4.264837,55.837512
129741,Aulds,55 St Enoch Square,Glasgow,,-4.25558113,55.85737272
495618,Auntie Anne's,763 Barrhead Road,Glasgow,,,
35884,Auntie M's,2 Clouston Street,Glasgow,G20 8QS,-4.2847,55.880698
36252,Avenue G Cafe,291 Byres Road,Glasgow,G12 8TL,-4.293342,55.875953
97344,Azure (Hospitality),150 Edmiston Drive,Glasgow,G51 2XD,-4.308669,55.852452
34729,Azzurro,91 Cambridge Street,Glasgow,G3 6RU,-4.259871,55.866965
145168,B and Q Cafe,21 Leggatston Road,Glasgow,G53 7RJ,-4.339161,55.802839
45097,B and Q Cafe,40 Allerdyce Road,Glasgow,G15 6RX,-4.377474,55.905094
129737,B.H.S. Plc,55 St Enoch Square,Glasgow,G1 4BW,-4.254458,55.857412
556103,Babu Bombay Street Kitchen,186 West Regent Street,Glasgow,G2 4RU,-4.261774,55.863964
466588,Babylon Cafe,9 Clyde Place,Glasgow,G5 8AA,,
35943,Back 2 Angie's,330 Duke Street,Glasgow,G31 1QZ,-4.222143,55.858171
26356,Baguette Express,297 Provan Walk,Glasgow,G34 9DY,-4.138074,55.871218
48960,Ballito Bay,16 St Andrews Street,Glasgow,G1 5PD,-4.24419,55.855308
594153,Bank Street Bar And Kitchen,54 Bank Street,Glasgow,G12 8LZ,-4.284265,55.8733
120348,Bar Soba,11 Mitchell Lane,Glasgow,G1 3LX,-4.255473,55.859487
315983,Bar Soba Byres Road,122 Byres Road,Glasgow,G12 8TB,-4.295826,55.873085
23202,Bar Ten,10 Mitchell Lane,Glasgow,G1 3NU,-4.255247,55.859995
14658,Barbarossa Restaurant,3 Clarkston Road,Glasgow,G44 4EF,-4.261659,55.817726
19559,Barca Tapas And Cava Bar,48 Buchanan Street,Glasgow,G1 3JN,-4.253456,55.859156
460413,Barclays Wealth   (3rd Floor),300 Bath Street,Glasgow,G2 4JR,-4.268847,55.865497
